A,D,alpha,offset,min,max
0.0725000000000000088818,0.0,-90.0,0.0,-23.0,23.0
-0.0,0.0,-90.0,90.0,-18.0,45.0
0.030411232786682323298,-0.161133006623332630802,-75.4891695625444754114,164.999987033466624098,-43.0,43.0
1.34107274951501371049e-07,-0.145583223855654336765,-89.9999709790918700492,-93.0795084661955485217,-88.0,13.0
-6.42748663215388648743e-07,-0.000649898655228221605248,-89.9999964186302037206,79.9999880804907519405,12.0000000000000017764,160.0
0.00999992761145848500781,-0.200500260946146369179,90.0000000062738791939,90.0000167074939412259,-50.0,80.0
0.0149998720622729845436,0.000500003504512780568535,90.0000000062738791939,-179.999999999999715783,-3.00000000000000044409,75.0
0.00200743918891312057504,-0.162800142527199959153,-90.0000035813698104903,89.9999832925060445632,-88.0,88.0
2.05899603136600003496e-10,-1.71761178246655976803e-07,-90.0000167074940407019,90.0000000062717475657,-70.0,25.0
-0.0,0.00699938936477509029976,90.0000016009861383282,-90.0000014112233372998,-inf,inf

